ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,แผนกพื้นฐานในการรักษา,จำนวนแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 17,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เกษมราษฎร์บางแค : BCH,0,1,1,311,5,157,452,4670.6,733.3333333333334,2039.2285714285715,0,0.0,3298.4736842105262,1531.1333333333334,2192.625,51960.0,1827.8085106382978,21277.846153846152,0.0,0.0,2624.0,2867.404255319149,45824.0
เกษมราษฎร์ประชาชื่น : BCH,0,1,1,362,7,286,542,15052.041666666666,0.0,1484.0821917808219,0,0.0,2764.896551724138,2067.75,7529.7625,6955.5,1224.5555555555557,11948.625,0.0,0.0,33686.90909090909,8419.42857142857,79630.0
เกษมราษฎร์รามคำแหง : BCH,0,1,1,139,8,101,180,6489.0,0.0,972.7272727272727,0,20400.0,1397.0,1040.0,916.0,80468.5,1478.1666666666667,936.6666666666666,0.0,0.0,4000.0,4759.0,17500.0
เจริญกรุงประชารักษ์,0,0,0,424,9,117,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,644.0,9805.0,0.0,0.0,0.0,0.0,0.0
เจ้าพระยา,0,0,1,200,1,350,430,15438.541666666666,0.0,3286.5384615384614,0,1083.3333333333333,1637.388888888889,1366.2,23766.125,39296.0,1725.9310344827586,19596.896551724138,0.0,0.0,20622.0,9392.38028169014,0.0
เซนต์หลุยส์,1,0,1,387,9,188,634,3459.516129032258,0.0,1627.050847457627,0,1837.142857142857,1601.6774193548388,2736.6666666666665,19495.706896551725,39940.0,1821.6328125,2127.8,0.0,0.0,6143.0,2026.2941176470588,11365.0
เทพธารินทร์,0,0,1,80,8,106,138,15615.57142857143,0.0,1858.9583333333333,0,4214.142857142857,1344.4285714285713,480.0,155518.6,4895.0,20545.53846153846,1497.5,0.0,0.0,41952.75,2909.8,0.0
เปาโลเมโมเรียล เกษตร : BDMS,0,1,1,162,7,263,654,2358.48,40554.5,1656.9027777777778,0,770.0,1473.128205128205,3961.5384615384614,3890.897435897436,31796.5,4336.489795918367,5110.475,0.0,0.0,2009.3333333333333,2806.3088235294117,2824.0
เปาโลเมโมเรียล โชคชัย4 : BDMS,0,1,1,140,8,183,895,7487.770833333333,0.0,1256.2903225806451,0,890.0,1161.7307692307693,4277.0,9534.559139784946,44789.5,1057.9083969465648,12976.906976744185,0.0,0.0,4202.25,2564.4242424242425,0.0
เปาโลเมโมเรียล พหลโยธิน : BDMS,0,1,1,220,9,305,702,8721.094285714285,0.0,2397.9912280701756,1500,2418.25,2419.473799999999,1529.1471428571429,7381.543684210527,44271.579999999994,4529.659606299212,3464.3020370370364,0.0,0.0,4805.564,3022.8259183673476,4624.0
