ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,150,2514,0.07000795544948289,0.9299920445505171,7359.734693877551,10303.818181818182,19203.8125,2300.5878787878787,1133.6666666666667,3525.0224719101125,3524.396551724138,1503.0688405797102,3229.8542805100183,11690.974489795919,1599.7909604519773,1390.2646048109966,6656.268518518518,0.0,0.0,0.0,3968.7134502923977,18254.925925925927,3508.1244019138758,1101.5714285714287
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,150,4318,0.05789717461787865,0.9421028253821213,8030.6425339366515,19215.235294117647,1825.0,1514.6132596685084,64181.95,2341.005291005291,3000.566929133858,5512.9177215189875,3082.9136047666334,12241.75,3053.8293650793653,4156.611344537815,6272.009202453988,0.0,0.0,0.0,4574.383333333333,10787.066666666668,4446.027568922305,1535.3333333333333
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,150,1097,0.04102096627164995,0.95897903372835,4337.456140350877,0.0,89634.33333333333,1029.8347826086956,10750.0,1601.4583333333333,2067.8571428571427,2009.1728395061727,2195.6776859504134,6892.0161290322585,4174.8875,5458.051851851852,2202.7118644067796,0.0,0.0,0.0,2646.046511627907,9131.0,2385.809917355372,942.3333333333334
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,100,37,0.24324324324324326,0.7567567567567568,0.0,1441.6666666666667,5297.363636363636,0.0,0.0,805.5,0.0,2040.0,700.5,870.0,0.0,644.0,6333.388888888889,0.0,0.0,0.0,0.0,0.0,724.0,0.0
เจ้าพระยา,None,None,Private,200,5750,1,350,80,2401,0.10828821324448147,0.8917117867555185,9831.29569892473,31123.545454545456,1002.0,2724.815789473684,4627.611111111111,7126.633027522936,3341.688888888889,12151.384615384615,4249.368932038835,12807.211462450592,1825.2263157894736,2789.8502673796793,15016.018348623853,92897.0,0.0,860.0,7248.317073170731,6107.0,7166.304498269897,2695.4166666666665
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,200,5648,0.03523371104815864,0.9647662889518414,3373.7066666666665,15454.94,1072.5,1843.25,1225.357142857143,1647.1011673151752,2622.4850746268658,4620.665841584158,1877.3856164383562,4199.056122448979,1304.7092050209205,1905.8201160541587,3220.787037037037,3487.0,0.0,0.0,1818.203007518797,2229.7619047619046,2944.6805896805895,1167.3636363636363
เทพธารินทร์,None,None,Private,80,2100,8,106,280,743,0.040376850605652756,0.9596231493943472,7065.09375,2650.5454545454545,9260.0,2463.687213114754,4534.9,7684.175438596491,1232.2222222222222,145951.7125,4776.0404761904765,33257.13333333333,3713.3076923076924,8153.921052631579,3318.6875,0.0,0.0,0.0,2759.032258064516,1333.3333333333333,5185.833333333333,0.0
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,100,3799,0.06685969992103186,0.9331403000789682,5526.341013824885,59379.92307692308,18988.25,1802.6022099447514,1289.1764705882354,1507.169590643275,3269.164835164835,3035.440860215054,3048.1835443037976,7573.167630057804,1553.0266666666666,3118.919902912621,3693.16814159292,0.0,0.0,0.0,4639.005714285714,4892.0,4268.49494949495,1115.6896551724137
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,100,6117,0.06097760340035965,0.9390223965996404,6626.973063973064,23454.302325581397,1673.162162162162,1292.6463068181818,2977.7619047619046,1889.329540816326,4266.964179104477,3229.124193548387,3625.298387096774,12086.544364508392,1342.156976744186,1660.1147058823528,6554.67,70341.0,0.0,0.0,4357.4841849148415,9255.527777777777,3136.010183299389,1059.904761904762
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,100,6834,0.054287386596429614,0.9460052677787533,5798.104954954955,30055.79787878788,16889.372258064515,3339.9628805620605,2055.441034482759,2752.4139228295817,1878.6000483091789,6081.889912663755,2559.190123056994,7634.949027303753,1805.3990496760257,2304.162533748702,6990.291814254861,17813.835,12961.31,0.0,4615.097236024845,3204.7863636363636,2701.8222500000034,2793.9755882352943
เพชรเวช,None,None,Private,200,4810,9,306,100,2383,0.03986571548468317,0.9601342845153168,3036.3028169014083,34656.68421052631,7208.0,1078.5393258426966,1978.1698113207547,1273.0294117647059,908.8888888888889,3022.8153846153846,1784.577868852459,6677.289099526066,1150.28125,2142.5555555555557,2368.0158730158732,0.0,0.0,0.0,1585.9714285714285,1320.764705882353,10314.63358778626,10155.2
เมดพาร์ค,Top,None,Private,205,11000,9,394,430,106,0.11320754716981132,0.8867924528301887,19552.485,48999.333333333336,2236.4,900.0,1733.75,3105.0,0.0,0.0,1667.25,44432.21583333333,8303.125,4350.823529411765,3820.0,0.0,0.0,0.0,20451.5,1550.0,2506.5,0.0
เลิดสิน,None,None,Public,609,1600,9,185,100,195,0.14871794871794872,0.8512820512820513,0.0,10325.0,0.0,636.8333333333334,19011.0,2247.138484848485,256.5,1256.4166666666667,0.0,727.0,0.0,5305.244897959184,8520.666666666666,0.0,0.0,27981.0,1020.0,0.0,667.1428571428571,0.0
เวชธานี,None,None,Private,263,5850,8,722,150,2752,0.06722383720930232,0.9327761627906976,9469.750484848486,51845.602307692316,10814.18076923077,3262.8240863787373,5951.419032258064,1587.5278947368422,7727.884615384615,18883.219695431475,3420.131854304635,8985.594496402877,2057.623686440678,2976.5215549597856,4919.566031746032,0.0,0.0,0.0,7145.398655462185,3182.311,7961.721895424837,2821.8
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,100,186,0.043010752688172046,0.956989247311828,1389.340909090909,0.0,0.0,1837.4117647058824,234.25,2343.4023333333334,0.0,2350.0,630.703125,2801.409090909091,1045.625,809.3863636363636,6884.5,0.0,0.0,0.0,1173.4375,373.6666666666667,0.0,489.25
แพทย์ปัญญา,None,None,Private,125,2150,9,22,100,125,0.176,0.824,84425.33333333333,23079.0,14020.0,0.0,55784.0,1143.7037037037037,782.05,8745.733333333334,65347.833333333336,14257.29411764706,749.0,904.0,64541.833333333336,0.0,0.0,0.0,1062.142857142857,993.5,122008.0,216.0
ไทยจักษุ,None,None,Private,10,3000,2,23,100,57,0.19298245614035087,0.8070175438596491,0.0,0.0,0.0,0.0,0.0,14350.243902439024,0.0,0.0,1770.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ไทยนครินทร์,None,None,Private,190,6020,9,346,125,3689,0.07291949037679588,0.9270805096232041,7824.689814814815,9507.066666666668,5538.9,3487.7619047619046,6408.75,2120.791044776119,2717.5632183908046,4290.628318584071,3346.797455968689,8424.539682539682,2227.853503184713,2817.3206650831353,4829.695121951219,39988.0,65620.0,0.0,3873.3709677419356,1993.4242424242425,3088.041474654378,6540.875
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,300,5698,0.06282906282906282,0.9378729378729379,6832.9372,47453.88264150943,4069.023968253968,4025.245755208333,7085.898253968254,5533.330927152318,3151.8166816143494,9853.18502283105,3723.676149870801,10273.254338709676,2472.5879963570137,6857.269920634919,6640.434526627219,21879.899999999998,105070.0,1200.0,6956.878526315789,5257.188823529411,29047.038647540987,3912.529433962264
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,400,5016,0.06299840510366826,0.9370015948963317,5798.735915492958,19314.8,1947.0416666666667,2655.494845360825,9729.170731707318,2641.3853211009173,3005.483870967742,5519.875576036867,2934.541095890411,6566.44874715262,2155.8613138686133,3205.5699300699303,4411.060465116279,70678.14285714286,840.0,1860.0,3117.1574803149606,10884.108108108108,7726.608,4257.85294117647
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,100,577,0.06239168110918544,0.9376083188908145,2276.574468085106,70485.83333333333,0.0,1224.2142857142858,812.4,1259.75,1249.5714285714287,5360.8378378378375,1606.3076923076924,6308.117647058823,3697.0,1221.5076923076922,6004.166666666667,0.0,0.0,0.0,1964.6805555555557,29064.5,7644.102040816327,1150.0
กลาง,None,None,Public,475,3000,9,116,30,155,0.14193548387096774,0.8580645161290322,952.6875,0.0,0.0,5246.666666666667,0.0,2818.5598,436.5,4785.39,1356.53125,15003.765625,0.0,5133.184782608696,777.875,0.0,10642.0,0.0,563.5,0.0,1090.4,2370.0
คลองตัน,None,None,Private,30,2000,4,21,100,37,0.21621621621621623,0.7837837837837838,17553.333333333332,0.0,0.0,0.0,5377.666666666667,0.0,0.0,0.0,7532.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,17478.0,0.0,0.0,0.0
