ชื่อ,ติดอันดับการจัดที่ดีที่สุด,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาล,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,อัตราการเข้าเคลมIPD,อัตราการเข้าเคลมOPD,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 12,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 19,กลุ่มที่ 21
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,150,2514,0.07000795544948289,0.9299920445505171,7359.734693877551,10303.818181818182,19203.8125,3524.396551724138,1503.0688405797102,3229.8542805100183,1599.7909604519773,0.0,0.0,18254.925925925927,1101.5714285714287
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,150,4318,0.05789717461787865,0.9421028253821213,8030.6425339366515,19215.235294117647,1825.0,3000.566929133858,5512.9177215189875,3082.9136047666334,3053.8293650793653,0.0,0.0,10787.066666666668,1535.3333333333333
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,150,1097,0.04102096627164995,0.95897903372835,4337.456140350877,0.0,89634.33333333333,2067.8571428571427,2009.1728395061727,2195.6776859504134,4174.8875,0.0,0.0,9131.0,942.3333333333334
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,100,37,0.24324324324324326,0.7567567567567568,0.0,1441.6666666666667,5297.363636363636,0.0,2040.0,700.5,0.0,0.0,0.0,0.0,0.0
เจ้าพระยา,None,None,Private,200,5750,1,350,80,2401,0.10828821324448147,0.8917117867555185,9831.29569892473,31123.545454545456,1002.0,3341.688888888889,12151.384615384615,4249.368932038835,1825.2263157894736,92897.0,0.0,6107.0,2695.4166666666665
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,200,5648,0.03523371104815864,0.9647662889518414,3373.7066666666665,15454.94,1072.5,2622.4850746268658,4620.665841584158,1877.3856164383562,1304.7092050209205,3487.0,0.0,2229.7619047619046,1167.3636363636363
เทพธารินทร์,None,None,Private,80,2100,8,106,280,743,0.040376850605652756,0.9596231493943472,7065.09375,2650.5454545454545,9260.0,1232.2222222222222,145951.7125,4776.0404761904765,3713.3076923076924,0.0,0.0,1333.3333333333333,0.0
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,100,3799,0.06685969992103186,0.9331403000789682,5526.341013824885,59379.92307692308,18988.25,3269.164835164835,3035.440860215054,3048.1835443037976,1553.0266666666666,0.0,0.0,4892.0,1115.6896551724137
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,100,6117,0.06097760340035965,0.9390223965996404,6626.973063973064,23454.302325581397,1673.162162162162,4266.964179104477,3229.124193548387,3625.298387096774,1342.156976744186,70341.0,0.0,9255.527777777777,1059.904761904762
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,100,6834,0.054287386596429614,0.9460052677787533,5798.104954954955,30055.79787878788,16889.372258064515,1878.6000483091789,6081.889912663755,2559.190123056994,1805.3990496760257,17813.835,12961.31,3204.7863636363636,2793.9755882352943
