ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
แพทย์ปัญญา,None,None,Private,125,2150,9,22,0.176,0.8240000000000001,125,84425.33333333331,0.0,55784.0,1143.703703703703,65347.83333333334,14257.29411764706,64541.83333333334,0.0,1062.142857142857,122008.0
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,0.07000795544948289,0.9299920445505172,2514,7359.734693877551,2300.587878787879,1133.666666666667,3525.022471910112,3229.854280510018,11690.97448979592,6656.268518518518,0.0,3968.713450292397,3508.124401913876
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,0.04102096627164995,0.9589790337283499,1097,4337.456140350877,1029.834782608696,10750.0,1601.458333333333,2195.677685950413,6892.016129032259,2202.71186440678,0.0,2646.046511627907,2385.809917355372
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,0.2432432432432433,0.7567567567567568,37,0.0,0.0,0.0,805.5,700.5,870.0,6333.38888888889,0.0,0.0,724.0
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,0.03523371104815864,0.9647662889518414,5648,3373.706666666666,1843.25,1225.357142857143,1647.101167315175,1877.385616438356,4199.056122448979,3220.787037037037,0.0,1818.203007518797,2944.680589680589
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,0.06685969992103186,0.9331403000789682,3799,5526.341013824886,1802.602209944752,1289.176470588235,1507.169590643275,3048.183544303798,7573.167630057804,3693.168141592921,0.0,4639.005714285714,4268.49494949495
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,0.06097760340035965,0.9390223965996404,6117,6626.973063973064,1292.646306818182,2977.761904761905,1889.329540816326,3625.298387096774,12086.54436450839,6554.67,0.0,4357.484184914842,3136.010183299389
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,0.05428738659642962,0.9460052677787532,6834,5798.104954954955,3339.96288056206,2055.441034482759,2752.413922829581,2559.190123056994,7634.949027303753,6990.291814254861,0.0,4615.097236024845,2701.822250000003
เพชรเวช,None,None,Private,200,4810,9,306,0.03986571548468317,0.9601342845153168,2383,3036.302816901409,1078.539325842697,1978.169811320755,1273.029411764706,1784.577868852459,6677.289099526066,2368.015873015873,0.0,1585.971428571429,10314.63358778626
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,0.04301075268817205,0.956989247311828,186,1389.340909090909,1837.411764705883,234.25,2343.402333333333,630.703125,2801.409090909091,6884.5,0.0,1173.4375,0.0
ไทยนครินทร์,None,None,Private,190,6020,9,346,0.07291949037679588,0.927080509623204,3689,7824.689814814815,3487.761904761905,6408.75,2120.791044776119,3346.797455968689,8424.539682539682,4829.695121951218,0.0,3873.370967741936,3088.041474654378
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,0.06299840510366826,0.9370015948963316,5016,5798.735915492958,2655.494845360825,9729.170731707318,2641.385321100917,2934.541095890411,6566.448747152621,4411.060465116279,1860.0,3117.157480314961,7726.608
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,0.06239168110918544,0.9376083188908144,577,2276.574468085106,1224.214285714286,812.4,1259.75,1606.307692307693,6308.117647058823,6004.166666666668,0.0,1964.680555555556,7644.102040816327
กลาง,None,None,Public,475,3000,9,116,0.1419354838709677,0.8580645161290322,155,952.6875,5246.666666666667,0.0,2818.5598,1356.53125,15003.765625,777.875,0.0,563.5,1090.4
คามิลเลียน,None,None,Private,120,4400,7,146,0.02136181575433912,0.9786381842456608,749,3547.4375,1321.034482758621,1598.2,1287.25,1184.036231884058,1084.181818181818,1996.9,0.0,1129.51724137931,2469.009523809524
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,0.0935672514619883,0.9064327485380116,1881,6822.961538461538,3598.558139534884,2557.333333333333,3237.0,3523.482078853046,4205.821138211382,2146.702127659575,0.0,5746.459459459459,2064.285714285714
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,0.06381798002219756,0.9361820199778024,1802,3893.420168067227,1446.415841584159,8629.142857142857,2223.6,2866.097978227061,3263.281553398058,3444.692307692308,0.0,2412.097560975609,5932.027932960894
ทหารผ่านศึก,None,None,Public,277,1500,9,101,0.2075471698113208,0.7924528301886793,53,0.0,427.5,0.0,2488.0,3441.8125,3505.5,0.0,0.0,4120.0,2559.375
