ชื่อ,ชื่อเสียง,เครือ,ประเภท,ขนาด,จำนวนเตียง,ห้องธรรมดา,ห้องพิเศษ,แผนก,โรงพยาบาลเฉพาะทาง,ค่าบริการ
กรุงเทพ : BDMS,famous,BDMS,Private Hospital,Large Hospital,263,11300,5,9,Specialized Hospital,3900
กรุงเทพคริสเตียน,famous,zero,Private Hospital,Large Hospital,244,4900,2,6,Normal Hospital,1900
กล้วยน้ำไท 1,zero,zero,Private Hospital,Large Hospital,160,6650,5,8,Specialized Hospital,0
กล้วยน้ำไท 2,zero,zero,Private Hospital,Medium Hospital,90,7150,4,1,Normal Hospital,0
กลาง,zero,zero,Public Hospital,Large Hospital,475,3000,1,9,Normal Hospital,0
เกษมราษฎร์บางแค : BCH,zero,BCH,Private Hospital,Large Hospital,311,5600,5,5,Normal Hospital,1600
เกษมราษฎร์ประชาชื่น : BCH,zero,BCH,Private Hospital,Large Hospital,362,4800,5,7,Normal Hospital,0
เกษมราษฎร์รามคำแหง : BCH,zero,BCH,Private Hospital,Large Hospital,139,3800,2,8,Normal Hospital,2660
คลองตัน,zero,zero,Private Hospital,Small Hospital,30,0,0,4,Normal Hospital,300
คามิลเลียน,zero,zero,Private Hospital,Large Hospital,120,4400,2,7,Normal Hospital,400
จักษุรัตนิน,zero,zero,Private Hospital,Small Hospital,12,6050,3,1,Normal Hospital,800
จุฬาภรณ์,zero,zero,Public Hospital,Large Hospital,115,3500,1,8,Normal Hospital,100
จุฬาลงกรณ์,famous,zero,Public Hospital,Large Hospital,1485,3500,3,9,Normal Hospital,571
เจริญกรุงประชารักษ์,zero,zero,Public Hospital,Large Hospital,424,2000,0,9,Normal Hospital,0
เจ้าพระยา,zero,zero,Private Hospital,Large Hospital,200,5750,6,1,Normal Hospital,2000
ซีจีเอชพหลโยธิน,famous,zero,Private Hospital,Large Hospital,120,4430,2,8,Normal Hospital,1500
ซีจีเอชสายไหม,zero,zero,Private Hospital,Large Hospital,100,3890,4,8,Normal Hospital,1400
เซนต์หลุยส์,famous,zero,Private Hospital,Large Hospital,387,4500,2,9,Normal Hospital,1800
เด็กสินแพทย์,zero,zero,Private Hospital,Medium Hospital,59,3400,0,0,Normal Hospital,400
ตา หู คอ จมูก,zero,RAM,Private Hospital,Small Hospital,30,3530,1,2,Normal Hospital,800
ตากสิน,zero,zero,Public Hospital,Large Hospital,418,1800,1,9,Normal Hospital,0
ตำรวจ,zero,zero,Public Hospital,Large Hospital,485,1600,0,8,Normal Hospital,0
ทหารผ่านศึก,zero,zero,Public Hospital,Large Hospital,277,1500,2,9,Normal Hospital,0
ทหารอากาศ (สีกัน) พอ.,zero,zero,Public Hospital,Large Hospital,150,0,1,5,Normal Hospital,0
เทพธารินทร์,zero,zero,Private Hospital,Medium Hospital,80,2100,2,8,Normal Hospital,1200
ไทยนครินทร์,zero,zero,Private Hospital,Large Hospital,190,6020,4,9,Normal Hospital,2200
ธนบุรี 1,famous,zero,Private Hospital,Large Hospital,435,5620,6,9,Normal Hospital,1985
ธนบุรี 2,zero,zero,Private Hospital,Large Hospital,95,5350,2,9,Normal Hospital,2550
ธนบุรี บำรุงเมือง,zero,zero,Private Hospital,Large Hospital,1400,5620,6,8,Specialized Hospital,3500
นครธน,zero,zero,Private Hospital,Large Hospital,150,4500,4,8,Normal Hospital,1100
นพรัตนราชธานี,zero,zero,Public Hospital,Large Hospital,609,1400,0,9,Normal Hospital,0
นวมินทร์,zero,zero,Private Hospital,Large Hospital,180,0,2,9,Normal Hospital,1500
นวมินทร์ 9,zero,zero,Private Hospital,Large Hospital,245,3280,2,9,Normal Hospital,1200
นวเวช,zero,zero,Private Hospital,Large Hospital,99,4000,2,8,Normal Hospital,1400
บางขุนเทียน 1,zero,zero,Private Hospital,Small Hospital,15,0,3,0,Normal Hospital,500
บางนา 1,zero,zero,Private Hospital,Large Hospital,101,2700,2,7,Normal Hospital,400
บางปะกอก 1,zero,zero,Private Hospital,Large Hospital,120,3200,1,7,Normal Hospital,1500
บางปะกอก 8,zero,zero,Private Hospital,Large Hospital,200,3200,1,9,Normal Hospital,400
บางปะกอก 9 อินเตอร์เนชั่นแนล,famous,zero,Private Hospital,Large Hospital,120,3200,3,7,Normal Hospital,1600
บางไผ่,zero,zero,Private Hospital,Large Hospital,100,3530,3,9,Normal Hospital,1000
บางโพ,zero,zero,Private Hospital,Large Hospital,100,3700,2,9,Normal Hospital,5000
บางมด,zero,zero,Private Hospital,Large Hospital,203,0,3,9,Normal Hospital,0
บำรุงราษฎร์,famous,BH,Private Hospital,Large Hospital,580,11492,6,9,Normal Hospital,3140
บีแคร์เมดิคอลเซ็นเตอร์,zero,zero,Private Hospital,Large Hospital,136,4330,2,5,Normal Hospital,1100
บีเอ็นเอช : BDMS,zero,BDMS,Private Hospital,Medium Hospital,86,8800,4,9,Normal Hospital,2200
ประชาพัฒน์,zero,zero,Private Hospital,Large Hospital,100,4490,3,9,Normal Hospital,500
ปิยะเวท,zero,zero,Private Hospital,Large Hospital,150,5760,4,9,Specialized Hospital,2000
เปาโลเมโมเรียล เกษตร : BDMS,zero,BDMS,Private Hospital,Large Hospital,162,4000,3,7,Normal Hospital,2000
เปาโลเมโมเรียล โชคชัย4 : BDMS,zero,BDMS,Private Hospital,Large Hospital,140,2940,3,8,Normal Hospital,1296
เปาโลเมโมเรียล พหลโยธิน : BDMS,zero,BDMS,Private Hospital,Large Hospital,220,5450,5,9,Normal Hospital,0
ผิวหนังอโศก,zero,zero,Private Hospital,Small Hospital,9,0,2,0,Normal Hospital,0
พญาไท 1 : BDMS,famous,BDMS,Private Hospital,Large Hospital,174,4800,6,9,Normal Hospital,2500
พญาไท 2 : BDMS,famous,BDMS,Private Hospital,Large Hospital,260,6687,6,9,Specialized Hospital,180
