Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
1,เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,0.05789717461787865,0.9421028253821212,4318,8030.642533936651,1514.613259668509,64181.95,2341.005291005291,3082.913604766633,12241.75,6272.009202453988,0.0,4574.383333333333,4446.027568922305,0,First
11,เมดพาร์ค,Top,None,Private,205,11000,9,394,0.1132075471698113,0.8867924528301887,106,19552.485,900.0,1733.75,3105.0,1667.25,44432.21583333333,3820.0,0.0,20451.5,2506.5,0,First
26,ตำรวจ,None,None,Public,485,1600,8,363,0.3131868131868132,0.6868131868131868,182,2353.0,6986.95,8210.5,7866.777777777777,60613.75,13869.76470588235,13950.1,0.0,15039.8,50256.28571428572,0,First
44,บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,0.07317073170731707,0.9268292682926829,2419,77402.2190909091,6374.905420560748,18371.30535714286,16541.14050955414,5430.098103448277,11599.8451369863,9841.037417218544,0.0,7881.79726190476,7382.017567567568,0,First
62,รามาธิบดี,Top,None,Private,1378,1000,9,1041,0.1537823490378235,0.8465494359654944,6028,19259.94736842105,3063.229853836785,8840.486301369863,6618.080676691729,8295.888621794871,17632.86741424802,6393.766435643563,0.0,5764.920913043477,15637.5775862069,0,First
65,วชิรพยาบาล,Top,None,Public,740,2400,9,341,0.450199203187251,0.5577689243027888,251,16656.0,1194.310344827587,20297.2,21082.89285714286,25248.58695652174,14244.84375,4953.27,2365.0,4888.941176470587,5551.84375,0,First
73,ศิริราช ปิยมหาราชการุณย์,Top,None,Private,350,6700,9,615,0.2216257668711656,0.7786809815950919,6520,11175.99511764706,5925.884615384615,47137.14324324324,21246.7213740458,9326.330672748005,35509.09031198687,23102.97670682731,28454.66666666667,14808.29901129943,11036.33568464731,0,First
74,ศิริราชพยาบาล,None,None,Public,2112,1000,9,2263,0.2373118655932797,0.7633881694084704,2857,8550.010204081633,4644.56843575419,16376.66666666666,19317.17191977077,6933.655555555555,17494.26551724138,11893.18376,24961.625,10341.78457446808,3579.492718446602,0,First
79,สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,571,0.06955128205128205,0.9307692307692308,3120,17052.59606936416,5063.0,10079.626,2166.850930232559,4596.938156028366,10367.58791836735,13751.30101351352,23236.3825,4205.695805084745,22025.78502824859,0,First
84,สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,258,0.118942731277533,0.8810572687224669,227,18138.5,2710.0,24844.0,1738.571428571429,2444.08,7665.1875,1337.857142857143,0.0,3943.727272727273,3394.55,0,First
