ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 2,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 16,กลุ่มที่ 18
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,150,0.1596981802041722,0.8403018197958277,10400,1124.4889538661469,797.4726890756302,295.7391304347826,825.5973684210526,873.5683760683761,570.6286107290234,896.4560161779575,3364.8032305433185,467.70751445086705,0.0,1085.84
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,150,0.12217052876442695,0.8778294712355731,20666,1061.7845107435462,478.43804537521817,12081.308235294116,618.8111888111888,788.9689440993789,1579.8808948004837,757.7481083719795,3160.485331098072,1172.125,0.0,1056.642925890279
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,150,0.08912358717806189,0.9108764128219381,4972,525.2772754671489,306.0232558139535,3583.3333333333335,349.40909090909093,542.8125,623.536398467433,568.9014989293362,1969.147465437788,1733.7341176470588,0.0,798.4561403508771
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,100,0.42168674698795183,0.5783132530120482,81,732.3333333333334,0.0,0.0,805.5,0.0,680.0,233.5,522.0,644.0,0.0,0.0
เจ้าพระยา,None,None,Private,200,5750,7,350,80,0.24641275465013285,0.7535872453498671,10769,1564.7063257948214,1063.7979452054794,1141.054794520548,1845.1377672209026,874.2790697674419,3180.5637583892617,1138.3224967490246,3039.610225140713,1001.3474088291747,0.0,1768.9345238095239
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,200,0.06713048286030225,0.9328695171396978,18811,860.0578970718723,694.0354523227384,497.2463768115942,491.64343786295007,836.697619047619,1764.4130434782608,480.7055419151175,1465.7435440783615,681.1676460421708,0.0,572.3573964497042
เทพธารินทร์,None,None,Private,80,2100,8,106,280,0.0886575735821967,0.9113424264178033,2650,908.8818181818182,934.607711442786,2267.45,2115.9323671497586,396.07142857142856,58380.685000000005,1453.577536231884,13857.138888888889,4556.60294117647,0.0,909.8936170212766
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,100,0.1423145224940805,0.8576854775059195,18991,843.4651607963247,619.1100569259962,322.29411764705884,371.3631123919308,972.2026143790849,912.1033925686592,715.1380939524838,2233.8584825234443,1003.1186572989851,0.0,1163.0744985673352
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,100,0.1399893353407986,0.8600106646592014,29894,780.3619548720025,385.7664264518864,762.5975609756098,640.6723010380621,906.1381933438985,932.4904517931998,927.9240007506098,2719.961683756071,568.1318570709612,0.0,1046.7130333138516
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,100,0.11011199215237473,0.8898880078476252,33737,938.1639287101806,923.0835922330097,469.35267716535435,601.9695710267229,474.8110012210012,1528.817552140505,534.9112697982941,2255.080710685483,749.6312567567568,1296.1309999999999,1039.2037132867133
เพชรเวช,None,None,Private,200,4810,9,306,100,0.11274605340089651,0.8872539465991035,9288,1017.1177617761776,524.5355191256831,733.1678321678322,311.3884892086331,307.8494623655914,995.6908783783783,533.6237745098039,2006.991452991453,673.1232032854209,0.0,510.42758620689654
เมดพาร์ค,Top,None,Private,205,11000,9,394,430,0.13194444444444445,0.8680555555555556,127,7501.08,900.0,1733.75,3105.0,0.0,0.0,1458.84375,31363.91705882353,4350.823529411765,0.0,20451.5
เลิดสิน,None,None,Public,609,1600,9,185,100,0.40978077571669475,0.5902192242833052,405,1377.4238410596026,424.55555555555554,19011.0,2181.0461764705883,256.5,1159.7692307692307,0.0,484.6666666666667,1382.75,0.0,408.0
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,50,140,0.4666666666666667,0.5333333333333333,30,241.58333333333334,0.0,0.0,863.75,0.0,1300.0,0.0,1099.4166666666667,0.0,0.0,0.0
เวชธานี,None,None,Private,263,5850,8,722,150,0.16024394555418067,0.8397560544458194,10465,1864.4831610141594,1338.0245912806538,1724.2428971962615,418.93097222222224,1960.2439024390244,4966.614526034713,1010.1514132029338,2538.613079268292,1307.70617196702,0.0,2089.1951842751846
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,100,0.08454106280193237,0.9154589371980676,324,442.5692307692308,822.0,58.5625,2343.4023333333334,0.0,2350.0,336.375,1027.1833333333334,494.625,0.0,299.6010638297872
แพทย์ปัญญา,None,None,Private,125,2150,9,22,100,0.4012841091492777,0.5987158908507223,613,6135.164444444445,0.0,55784.0,1064.8275862068965,260.68333333333334,1749.1466666666668,20107.02564102564,2353.145631067961,361.6,0.0,1062.142857142857
ไทยนครินทร์,None,None,Private,190,6020,9,346,125,0.14349356506434935,0.8565064349356506,17040,789.3366890380313,1106.3897280966767,1742.1844660194174,572.186577181208,767.6233766233767,1096.9253393665158,822.2180288461539,2043.2954764196343,1038.6094570928196,5468.333333333333,1001.6642335766423
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,300,0.13215859030837004,0.8678414096916299,19819,2147.7625026303926,1635.6554179894179,2266.0486802030455,1531.6828047662693,1203.5190410958903,3717.22225667528,1142.7935527359239,3187.8967417417416,2402.5471254779277,26267.5,2220.2803807390815
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,400,0.15587669716217004,0.84412330283783,15435,1516.8196266397579,1119.9260869565217,3693.4814814814813,910.1506849315068,1242.2666666666667,2348.6529411764704,928.1191443271053,2332.258090614887,1593.4988412514485,280.0,959.7066666666667
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,100,0.1376425855513308,0.8623574144486692,2412,1660.5602055800293,408.07142857142856,203.1,403.12,437.35,1231.9937888198758,412.39138240574505,1903.6331360946745,364.2110091743119,0.0,586.9585062240664
กลาง,None,None,Public,475,3000,9,116,30,0.3719806763285024,0.6280193236714976,572,730.7154377880184,3148.0,0.0,1329.5093396226414,218.25,2441.5255102040815,401.93518518518516,2609.350543478261,2409.454081632653,1064.2,281.75
การไฟฟ้านครหลวง,None,None,Public,80,0,6,29,0,0.0,1.0,8,897.5,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0
คลองตัน,None,None,Private,30,2000,4,21,100,0.6813186813186813,0.31868131868131866,91,629.4,0.0,597.5185185185185,0.0,0.0,0.0,684.7272727272727,0.0,0.0,0.0,1588.909090909091
คามิลเลียน,None,None,Private,120,4400,7,146,100,0.05004721435316336,0.9499527856468366,2798,434.4418125643666,414.9097472924188,614.6923076923077,355.1034482758621,339.9375,351.05263157894734,415.7684478371501,313.8421052631579,519.2321899736148,0.0,389.95238095238096
จุฬาภรณ์,None,None,Public,115,3500,8,445,100,0.31696706028589183,0.6830329397141082,1490,2228.1300262812088,653.4285714285714,2941.076923076923,2166.967105263158,125.0,1053.3816964285713,341.25,1242.0691489361702,1389.7627118644068,0.0,1017.1650943396227
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,20,0.29867345571486,0.7013265442851401,13673,2627.344854132901,1100.1820303383897,2836.986013986014,3303.1360934182594,1038.1666666666667,3222.64875491481,2702.4637146371465,4155.295504385965,3676.9872306464486,0.0,1727.9142091152814
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,150,0.14561664190193166,0.8543833580980683,8260,754.8661446681581,1218.4094488188975,590.1538461538462,935.8151658767772,599.1698113207547,929.6692913385826,906.8740774907749,1159.9013452914799,687.6237218813906,0.0,1544.4479418886199
