ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,150,0.1596981802041722,0.8403018197958277,10400,7359.734693877551,1124.4889538661469,7016.533333333334,797.4726890756302,295.7391304347826,825.5973684210526,873.5683760683761,570.6286107290234,896.4560161779575,3364.8032305433185,526.3252788104089,467.70751445086705,1664.0671296296296,0.0,0.0,0.0,1085.84,3597.6861313868612,836.9840182648402,335.2608695652174
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,150,0.12217052876442695,0.8778294712355731,20666,8030.6425339366515,1061.7845107435462,2562.3064516129034,478.43804537521817,12081.308235294116,618.8111888111888,788.9689440993789,1579.8808948004837,757.7481083719795,3160.485331098072,811.7774261603375,1172.125,1439.911971830986,0.0,0.0,0.0,1056.642925890279,3279.8513513513512,1050.3049141503848,658.0
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,150,0.08912358717806189,0.9108764128219381,4972,4337.456140350877,525.2772754671489,89634.33333333333,306.0232558139535,3583.3333333333335,349.40909090909093,542.8125,623.536398467433,568.9014989293362,1969.147465437788,1102.2805280528053,1733.7341176470588,590.7272727272727,0.0,0.0,0.0,798.4561403508771,2382.0,697.3019323671498,217.46153846153845
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,100,0.42168674698795183,0.5783132530120482,81,0.0,732.3333333333334,5297.363636363636,0.0,0.0,805.5,0.0,680.0,233.5,522.0,0.0,644.0,1676.485294117647,0.0,0.0,0.0,0.0,0.0,144.8,0.0
เจ้าพระยา,None,None,Private,200,5750,7,350,80,0.24641275465013285,0.7535872453498671,10769,9831.29569892473,1564.7063257948214,3082.4594594594596,1063.7979452054794,1141.054794520548,1845.1377672209026,874.2790697674419,3180.5637583892617,1138.3224967490246,3039.610225140713,603.1182608695652,1001.3474088291747,4318.591029023747,46448.5,0.0,860.0,1768.9345238095239,1376.225352112676,1818.3160667251975,703.1521739130435
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,200,0.06713048286030225,0.9328695171396978,18811,3373.7066666666665,860.0578970718723,509.6923076923077,694.0354523227384,497.2463768115942,491.64343786295007,836.697619047619,1764.4130434782608,480.7055419151175,1465.7435440783615,470.32503770739066,681.1676460421708,953.0,581.1666666666666,0.0,0.0,572.3573964497042,557.4404761904761,911.3954372623574,366.8857142857143
เทพธารินทร์,None,None,Private,80,2100,8,106,280,0.0886575735821967,0.9113424264178033,2650,7065.09375,908.8818181818182,1296.4545454545455,934.607711442786,2267.45,2115.9323671497586,396.07142857142856,58380.685000000005,1453.577536231884,13857.138888888889,1109.7241379310344,4556.60294117647,1061.98,0.0,0.0,0.0,909.8936170212766,500.0,1196.7307692307693,0.0
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,100,0.1423145224940805,0.8576854775059195,18991,5526.341013824885,843.4651607963247,3703.3333333333335,619.1100569259962,322.29411764705884,371.3631123919308,972.2026143790849,912.1033925686592,715.1380939524838,2233.8584825234443,463.4363395225464,1003.1186572989851,1000.7865707434053,0.0,0.0,0.0,1163.0744985673352,1087.111111111111,871.7503867973182,320.34653465346537
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,100,0.1399893353407986,0.8600106646592014,29894,6626.973063973064,780.3619548720025,2047.3461538461538,385.7664264518864,762.5975609756098,640.6723010380621,906.1381933438985,932.4904517931998,927.9240007506098,2719.961683756071,384.4313072439634,568.1318570709612,1594.8102189781023,3907.8333333333335,0.0,0.0,1046.7130333138516,2019.387878787879,726.9976392823419,274.7901234567901
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,100,0.11011199215237473,0.8898880078476252,33737,5798.104954954956,938.1639287101806,7726.75303030303,923.0835922330097,469.35267716535435,601.9695710267229,474.8110012210012,1528.817552140505,534.9112697982941,2255.080710685483,477.1117351598173,749.6312567567568,1546.3474008600097,1979.3149999999998,1296.1309999999999,0.0,1039.2037132867133,686.739935064935,612.0220292590852,579.2388414634146
เพชรเวช,None,None,Private,200,4810,9,306,100,0.11274605340089651,0.8872539465991035,9288,3036.3028169014083,1017.1177617761776,3014.3396226415093,524.5355191256831,733.1678321678322,311.3884892086331,307.8494623655914,995.6908783783783,533.6237745098039,2006.991452991453,433.89783889980356,673.1232032854209,772.979274611399,0.0,0.0,0.0,510.42758620689654,431.78846153846155,2204.269168026101,1269.4
เมดพาร์ค,Top,None,Private,205,11000,9,394,430,0.13194444444444445,0.8680555555555556,127,19552.485,7501.08,1242.4444444444443,900.0,1733.75,3105.0,0.0,0.0,1458.84375,31363.91705882353,8303.125,4350.823529411765,3820.0,0.0,0.0,0.0,20451.5,1550.0,1822.909090909091,0.0
เลิดสิน,None,None,Public,609,1600,9,185,100,0.40978077571669475,0.5902192242833052,405,0.0,1377.4238410596026,0.0,424.55555555555554,19011.0,2181.0461764705883,256.5,1159.7692307692307,0.0,484.6666666666667,0.0,1382.75,1161.909090909091,0.0,0.0,1865.4,408.0,0.0,194.58333333333334,0.0
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,50,140,0.4666666666666667,0.5333333333333333,30,0.0,241.58333333333334,0.0,0.0,0.0,863.75,0.0,1300.0,0.0,1099.4166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.6875,0.0
เวชธานี,None,None,Private,263,5850,8,722,150,0.16024394555418067,0.8397560544458194,10465,9469.750484848486,1864.4831610141594,2813.3172131147544,1338.0245912806538,1724.2428971962615,418.93097222222224,1960.2439024390244,4966.614526034713,1010.1514132029338,2538.613079268292,669.7919862068965,1307.70617196702,1565.3164646464647,0.0,0.0,0.0,2089.1951842751846,1272.9244,2307.0898674242426,1567.6666666666667
