ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,0.07000795544948289,0.9299920445505171,2514,7359.734693877551,2300.5878787878787,1133.6666666666667,3525.0224719101125,3229.8542805100183,11690.974489795919,6656.268518518518,0.0,3968.7134502923977,3508.1244019138758
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,0.05789717461787865,0.9421028253821213,4318,8030.6425339366515,1514.6132596685084,64181.95,2341.005291005291,3082.9136047666334,12241.75,6272.009202453988,0.0,4574.383333333333,4446.027568922305
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,0.04102096627164995,0.95897903372835,1097,4337.456140350877,1029.8347826086956,10750.0,1601.4583333333333,2195.6776859504134,6892.0161290322585,2202.7118644067796,0.0,2646.046511627907,2385.809917355372
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,0.24324324324324326,0.7567567567567568,37,0.0,0.0,0.0,805.5,700.5,870.0,6333.388888888889,0.0,0.0,724.0
เจ้าพระยา,None,None,Private,200,5750,7,350,0.10828821324448147,0.8917117867555185,2401,9831.29569892473,2724.815789473684,4627.611111111111,7126.633027522936,4249.368932038835,12807.211462450592,15016.018348623853,860.0,7248.317073170731,7166.304498269897
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,0.03523371104815864,0.9647662889518414,5648,3373.7066666666665,1843.25,1225.357142857143,1647.1011673151752,1877.3856164383562,4199.056122448979,3220.787037037037,0.0,1818.203007518797,2944.6805896805895
เทพธารินทร์,None,None,Private,80,2100,8,106,0.040376850605652756,0.9596231493943472,743,7065.09375,2463.687213114754,4534.9,7684.175438596491,4776.0404761904765,33257.13333333333,3318.6875,0.0,2759.032258064516,5185.833333333333
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,0.06685969992103186,0.9331403000789682,3799,5526.341013824885,1802.6022099447514,1289.1764705882354,1507.169590643275,3048.1835443037976,7573.167630057804,3693.16814159292,0.0,4639.005714285714,4268.49494949495
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,0.06097760340035965,0.9390223965996404,6117,6626.973063973064,1292.6463068181818,2977.7619047619046,1889.329540816326,3625.298387096774,12086.544364508392,6554.67,0.0,4357.4841849148415,3136.010183299389
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,0.054287386596429614,0.9460052677787533,6834,5798.104954954955,3339.9628805620605,2055.441034482759,2752.4139228295817,2559.190123056994,7634.949027303753,6990.291814254861,0.0,4615.097236024845,2701.8222500000034
เพชรเวช,None,None,Private,200,4810,9,306,0.03986571548468317,0.9601342845153168,2383,3036.3028169014083,1078.5393258426966,1978.1698113207547,1273.0294117647059,1784.577868852459,6677.289099526066,2368.0158730158732,0.0,1585.9714285714285,10314.63358778626
เมดพาร์ค,Top,None,Private,205,11000,9,394,0.11320754716981132,0.8867924528301887,106,19552.485,900.0,1733.75,3105.0,1667.25,44432.21583333333,3820.0,0.0,20451.5,2506.5
เลิดสิน,None,None,Public,609,1600,9,185,0.14871794871794872,0.8512820512820513,195,0.0,636.8333333333334,19011.0,2247.138484848485,0.0,727.0,8520.666666666666,27981.0,1020.0,667.1428571428571
เวชธานี,None,None,Private,263,5850,8,722,0.06722383720930232,0.9327761627906976,2752,9469.750484848486,3262.8240863787373,5951.419032258064,1587.5278947368422,3420.131854304635,8985.594496402877,4919.566031746032,0.0,7145.398655462185,7961.721895424837
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,0.043010752688172046,0.956989247311828,186,1389.340909090909,1837.4117647058824,234.25,2343.4023333333334,630.703125,2801.409090909091,6884.5,0.0,1173.4375,0.0
ไทยนครินทร์,None,None,Private,190,6020,9,346,0.07291949037679588,0.9270805096232041,3689,7824.689814814815,3487.7619047619046,6408.75,2120.791044776119,3346.797455968689,8424.539682539682,4829.695121951219,0.0,3873.3709677419356,3088.041474654378
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,0.06282906282906282,0.9378729378729379,5698,6832.9372,4025.245755208333,7085.898253968254,5533.330927152318,3723.676149870801,10273.254338709676,6640.434526627219,1200.0,6956.878526315789,29047.038647540987
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,0.06299840510366826,0.9370015948963317,5016,5798.735915492958,2655.494845360825,9729.170731707318,2641.3853211009173,2934.541095890411,6566.44874715262,4411.060465116279,1860.0,3117.1574803149606,7726.608
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,0.06239168110918544,0.9376083188908145,577,2276.574468085106,1224.2142857142858,812.4,1259.75,1606.3076923076924,6308.117647058823,6004.166666666667,0.0,1964.6805555555557,7644.102040816327
กลาง,None,None,Public,475,3000,9,116,0.14193548387096774,0.8580645161290322,155,952.6875,5246.666666666667,0.0,2818.5598,1356.53125,15003.765625,777.875,0.0,563.5,1090.4
คลองตัน,None,None,Private,30,2000,4,21,0.21621621621621623,0.7837837837837838,37,17553.333333333332,0.0,5377.666666666667,0.0,7532.0,0.0,2000.0,0.0,17478.0,0.0
คามิลเลียน,None,None,Private,120,4400,7,146,0.021361815754339118,0.9786381842456608,749,3547.4375,1321.0344827586207,1598.2,1287.25,1184.036231884058,1084.1818181818182,1996.9,0.0,1129.5172413793102,2469.0095238095237
จุฬาภรณ์,None,None,Public,115,3500,8,445,0.15500945179584122,0.8468809073724007,529,17270.666666666668,1203.6842105263158,4779.25,5678.948275862069,554.53125,4026.0172413793102,5506.666666666667,0.0,1796.9916666666666,1093.9666666666667
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,0.14882577826324414,0.8511742217367558,3662,6826.422535211268,2670.9801699716713,7376.163636363636,9815.628391167193,7763.614840989399,12344.07003257329,7005.161691542288,9512.333333333334,4704.467153284671,14055.190476190477
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,0.0935672514619883,0.9064327485380117,1881,6822.961538461538,3598.5581395348836,2557.3333333333335,3237.0,3523.4820788530465,4205.821138211382,2146.7021276595747,0.0,5746.459459459459,2064.285714285714
